batter,sr_dth,sr_mid,sr_pp,runs,career_sr,matches,sr_pp_n,sr_mid_n,sr_dth_n,career_sr_n,perf_score,sr_best,sr_worst,phase_gap
SS Tiwary,144.87,113.74,,1489,120.57,73,,27.613528855250706,41.93157735392069,25.718784227820365,31.96,144.87,113.74,31.1
ST Jayasuriya,,,139.29,760,143.67,30,41.49092365189534,,,41.53203723986856,41.52,139.29,139.29,0.0
STR Binny,151.15,117.72,,879,128.89,66,,32.32024597918638,46.68483197093552,31.4142935377875,37.03,151.15,117.72,33.4
SV Samson,192.76,138.92,127.57,5169,141.5,185,33.66924719701014,57.391201513718045,78.17892824704812,40.04654983570646,56.36,192.76,127.57,65.2
Shahbaz Ahmed,147.2,,,602,123.61,40,,,43.695125643354515,27.799835706462204,33.36,147.2,147.2,0.0
Shakib Al Hasan,138.79,117.21,,788,124.09,52,,31.71712393566696,37.329700272479556,28.128422782037234,32.43,138.79,117.21,21.6
Shashank Singh,195.42,,,905,161.61,42,,,80.19224947017862,53.81297918948522,63.05,195.42,195.42,0.0
Shubman Gill,156.62,147.59,134.5,4586,142.29,130,38.29418045915642,67.64427625354779,50.825007568876785,40.587349397590344,51.48,156.62,134.5,22.1
T Stubbs,197.08,118.67,,980,151.47,43,,33.44370860927151,81.44868301544052,46.87157721796275,54.95,197.08,118.67,78.4
TH David,195.31,,,1133,176.48,59,,,80.10899182561307,63.99233296823657,69.63,195.31,195.31,0.0
TM Dilshan,,103.35,110.25,1138,113.69,50,22.11025093432994,15.32639545884578,,21.009036144578303,19.69,110.25,103.35,6.9
TM Head,,,178.83,1550,170.89,52,67.87907100907634,,,60.165662650602385,62.87,178.83,178.83,0.0
Tilak Varma,199.26,132.82,,1849,144.68,65,,50.177388836329214,83.09869815319406,42.22343921139101,58.92,199.26,132.82,66.4
UT Yadav,109.04,,,208,103.48,48,,,14.812291855888589,14.019715224534508,14.3,109.04,109.04,0.0
V Kohli,188.92,125.77,129.87,9326,134.94,275,35.2042178323545,41.840113528855255,75.27247956403268,35.55585980284775,51.22,188.92,125.77,63.1
V Sehwag,,172.5,144.71,2713,155.92,104,45.108115323011205,97.10264900662253,,49.91785323110622,62.39,172.5,144.71,27.8
V Shankar,165.58,115.91,,1227,129.57,63,,30.17975402081362,57.606721162579476,31.879791894852133,40.37,165.58,115.91,49.7
V Suryavanshi,,,226.96,1024,229.08,23,99.99999999999999,,,100.0,100.0,226.96,226.96,0.0
VR Iyer,,139.74,138.48,1671,141.61,62,40.950347036839275,58.360927152317885,,40.12185104052574,45.88,139.74,138.48,1.3
WP Saha,157.79,109.91,132.54,2929,127.57,143,36.98611852642817,23.084200567644274,51.710566151983045,30.510679079956176,37.97,157.79,109.91,47.9
Washington Sundar,155.84,115.05,,883,135.22,59,,29.162724692526012,50.234635180139264,35.747535596933176,38.84,155.84,115.05,40.8
Y Venugopal Rao,153.41,107.19,,980,117.79,52,,19.86754966887416,48.39539812291855,23.815717415115003,31.23,153.41,107.19,46.2
YBK Jaiswal,,137.96,158.56,2581,152.54,82,54.35130806193273,56.25591296121098,,47.60405257393208,52.56,158.56,137.96,20.6
YK Pathan,161.06,133.62,148.15,3210,143.75,153,47.40389749065669,51.12346263008516,54.185588858613386,41.586801752464396,50.89,161.06,133.62,27.4
Yuvraj Singh,180.97,115.33,,2742,129.65,126,,29.493850520340573,69.2552225249773,31.93455640744797,44.26,180.97,115.33,65.6
