venue,phase,runs_c,balls,run_rate,boundary_rate,wickets,pitch_type
Dubai International Cricket Stadium,Middle,5958,4952,7.22,12.1,203,⚖️ Balanced Pitch (Standard bounce & boundaries)
Dubai International Cricket Stadium,Powerplay,4053,3351,7.26,17.88,140,⚖️ Balanced Pitch (Standard bounce & boundaries)
Eden Gardens,Death,5955,3815,9.37,20.1,298,⚖️ Balanced Pitch (Standard bounce & boundaries)
Eden Gardens,Middle,10107,8074,7.51,14.28,359,⚖️ Balanced Pitch (Standard bounce & boundaries)
Eden Gardens,Powerplay,6846,5538,7.42,20.08,216,⚖️ Balanced Pitch (Standard bounce & boundaries)
"Eden Gardens, Kolkata",Death,2707,1462,11.11,27.63,111,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Eden Gardens, Kolkata",Middle,4356,3067,8.52,17.57,147,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Eden Gardens, Kolkata",Powerplay,3269,2080,9.43,26.15,90,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Feroz Shah Kotla,Death,4528,2985,9.1,18.96,255,⚖️ Balanced Pitch (Standard bounce & boundaries)
Feroz Shah Kotla,Middle,7860,6216,7.59,13.96,257,⚖️ Balanced Pitch (Standard bounce & boundaries)
Feroz Shah Kotla,Powerplay,5396,4274,7.58,19.93,182,⚖️ Balanced Pitch (Standard bounce & boundaries)
Green Park,Death,278,180,9.27,21.67,16,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Green Park,Middle,553,423,7.84,17.02,18,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Green Park,Powerplay,425,288,8.85,26.04,15,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Himachal Pradesh Cricket Association Stadium,Death,822,473,10.43,24.95,41,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Himachal Pradesh Cricket Association Stadium,Middle,1297,972,8.01,17.49,38,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Himachal Pradesh Cricket Association Stadium,Powerplay,687,648,6.36,18.21,24,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Death,1040,510,12.24,30.98,39,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Middle,1487,997,8.95,19.46,50,"🏏 Batting Paradise (Fast outfield, small boundaries)"
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Powerplay,1058,684,9.28,26.02,31,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Holkar Cricket Stadium,Death,651,358,10.91,25.14,24,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Holkar Cricket Stadium,Middle,1224,882,8.33,16.67,41,"🏏 Batting Paradise (Fast outfield, small boundaries)"
Holkar Cricket Stadium,Powerplay,902,648,8.35,21.45,27,"🏏 Batting Paradise (Fast outfield, small boundaries)"
JSCA International Stadium Complex,Death,567,374,9.1,17.11,35,"🌀 Slower Pitch (Spinner friendly, low bounce)"
JSCA International Stadium Complex,Middle,916,756,7.27,11.77,24,"🌀 Slower Pitch (Spinner friendly, low bounce)"
JSCA International Stadium Complex,Powerplay,520,504,6.19,15.28,21,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Kingsmead,Death,1164,844,8.27,15.52,88,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Kingsmead,Middle,1681,1586,6.36,9.96,69,"🌀 Slower Pitch (Spinner friendly, low bounce)"
Kingsmead,Powerplay,1310,1080,7.28,18.52,44,"🌀 Slower Pitch (Spinner friendly, low bounce)"
M Chinnaswamy Stadium,Death,5234,3066,10.24,23.55,273,"🏏 Batting Paradise (Fast outfield, small boundaries)"
