bowler,econ_dth,econ_mid,econ_pp,wickets,career_econ,matches,econ_pp_n,econ_mid_n,econ_dth_n,career_econ_n,perf_score,econ_best,econ_worst,phase_gap
S Sreesanth,,,6.95,40,7.64,44,73.82550335570468,,,70.40000000000003,71.43,6.95,6.95,0.0
SB Jakati,,7.67,,46,7.99,57,,61.93853427895979,,61.06666666666666,61.28,7.67,7.67,0.0
SK Raina,,7.14,,25,7.38,69,,74.46808510638297,,77.33333333333334,76.62,7.14,7.14,0.0
SK Trivedi,8.82,6.89,,65,7.42,75,,80.37825059101655,73.03754266211604,76.26666666666668,75.84,6.89,8.82,1.9
SK Warne,8.83,6.69,,56,7.17,54,,85.10638297872339,72.8668941979522,82.93333333333334,78.95,6.69,8.83,2.1
SL Malinga,7.8,7.07,6.12,170,6.98,122,92.39373601789708,76.12293144208036,90.44368600682594,88.0,87.45,6.12,7.8,1.7
SM Curran,11.03,10.29,8.17,59,9.55,63,46.532438478747196,0.0,35.324232081911276,19.46666666666664,29.86,8.17,11.03,2.9
SN Thakur,10.17,8.03,9.27,119,9.17,109,21.923937360178968,53.42789598108746,50.0,29.599999999999994,42.43,8.03,10.17,2.1
SP Narine,7.24,6.61,6.81,209,6.8,200,76.95749440715883,86.99763593380612,100.0,92.80000000000001,89.84,6.61,7.24,0.6
SR Watson,9.31,7.28,7.03,92,7.75,105,72.03579418344518,71.15839243498814,64.67576791808872,67.46666666666667,68.5,7.03,9.31,2.3
STR Binny,,7.3,,22,7.54,63,,70.68557919621747,,73.06666666666669,72.47,7.3,7.3,0.0
SW Tait,7.76,,6.82,23,7.36,21,76.73378076062639,,91.12627986348124,77.86666666666667,83.49,6.82,7.76,0.9
Sandeep Sharma,10.16,7.87,7.03,151,7.98,142,72.03579418344518,57.21040189125293,50.170648464163804,61.33333333333334,58.49,7.03,10.16,3.1
Shahbaz Ahmed,,9.66,,27,9.68,50,,14.893617021276555,,16.0,15.72,9.66,9.66,0.0
Shakib Al Hasan,9.31,6.86,7.55,63,7.39,70,60.402684563758385,81.08747044917254,64.67576791808872,77.06666666666669,67.5,6.86,9.31,2.4
Shivam Mavi,10.27,,8.12,30,8.38,32,47.65100671140942,,48.29351535836179,50.66666666666666,48.69,8.12,10.27,2.2
Suyash Sharma,,8.92,,27,8.9,39,,32.38770685579195,,36.80000000000001,35.7,8.92,8.92,0.0
T Natarajan,9.97,8.38,8.25,73,8.99,73,44.74272930648769,45.15366430260042,53.412969283276425,34.400000000000006,48.75,8.25,9.97,1.7
TA Boult,10.41,8.65,7.29,145,8.31,124,66.2192393736018,38.7706855791962,45.904436860068245,52.53333333333333,50.22,7.29,10.41,3.1
TG Southee,10.34,,7.86,47,8.51,54,53.467561521252776,,47.098976109215016,47.20000000000002,49.03,7.86,10.34,2.5
TU Deshpande,11.11,,8.8,55,9.79,53,32.43847874720356,,33.95904436860067,13.06666666666672,28.28,8.8,11.11,2.3
UT Yadav,10.16,8.06,7.64,144,8.36,147,58.38926174496643,52.71867612293141,50.170648464163804,51.20000000000002,53.27,7.64,10.16,2.5
Umran Malik,,8.09,,29,8.96,26,,52.009456264775395,,35.19999999999999,39.4,8.09,8.09,0.0
VG Arora,9.88,,8.73,47,9.3,42,34.00447427293062,,54.94880546075083,26.133333333333326,41.46,8.73,9.88,1.2
VR Aaron,10.93,7.82,8.38,44,8.69,50,41.834451901565984,58.392434988179645,37.03071672354949,42.400000000000034,43.81,7.82,10.93,3.1
Vijaykumar Vyshak,,9.17,,26,10.03,25,,26.477541371158367,,6.666666666666686,11.62,9.17,9.17,0.0
WD Parnell,8.26,,7.31,35,7.55,33,65.7718120805369,,82.5938566552901,72.80000000000001,75.1,7.31,8.26,1.0
Washington Sundar,,7.09,8.36,39,7.73,68,42.281879194630875,75.65011820330969,,68.0,62.2,7.09,8.36,1.3
YK Pathan,,7.47,6.54,41,7.32,82,82.99776286353466,66.66666666666666,,78.93333333333334,77.09,6.54,7.47,0.9
YS Chahal,9.25,7.63,7.86,229,7.92,184,53.467561521252776,62.88416075650116,65.69965870307166,62.93333333333334,61.33,7.63,9.25,1.6
Yash Dayal,10.05,,9.27,41,9.22,43,21.923937360178968,,52.04778156996585,28.26666666666665,37.07,9.27,10.05,0.8
Yash Thakur,11.1,,,27,10.19,22,,,34.129692832764505,2.400000000000034,16.68,11.1,11.1,0.0
Yuvraj Singh,,7.31,,36,7.44,73,,70.44917257683215,,75.73333333333335,74.41,7.31,7.31,0.0
Z Khan,9.18,8.21,6.63,102,7.55,99,80.98434004474274,49.172576832151265,66.89419795221843,72.80000000000001,66.69,6.63,9.18,2.6
